% Model,TWA_96MHz_flat_Ttype_centerfed_plasma_for_Sij.mph
% Version,COMSOL 6.2.0.339
% Date,"May 30 2024, 19:44"
% Table,Table 8 - Global Matrix Evaluation 1
% freq (MHz),S-parameter (1),,,,,,,,,,
96,-0.5413521761100168+0.8319487248557652i,0.08132707918778181+0.05119433707680404i,0.01889874810466723+0.006269971267861756i,0.005466079839531084+0.0011695272735353479i,0.0017424361536055781+2.3787380303816276E-4i,5.738546546346054E-4+3.806161670198862E-5i,1.9062805423271536E-4-3.9095667370452093E-7i,6.342573638593698E-5-4.4239553246993354E-6i,2.1060399420923102E-5-2.893889583458178E-6i,6.96518295048978E-6-1.426089710610739E-6i,2.2780353567133737E-6-5.912783277773316E-7i
,0.08132708598699878+0.05119428829501073i,-0.5391597743880874+0.8276868562005655i,0.08200307006138458+0.05052782454819111i,0.01912623707327173+0.006081206651845479i,0.0055390191867504286+0.0011070655888327668i,0.0017662784247807425+2.160686218364926E-4i,5.81077163555835E-4+3.0239110549287897E-5i,1.929404608494824E-4-3.1608377313851913E-6i,6.412092944541724E-5-5.388087467972946E-6i,2.1251521195701513E-5-3.2029742856047577E-6i,6.965162708086646E-6-1.4250464540880161E-6i
,0.018898745736133947+0.006269961822657616i,0.08200307062348484+0.05052784927380542i,-0.5390859774578374+0.8275868979643858i,0.08208011611875052+0.050489370410121706i,0.019149147221850522+0.006070089768252157i,0.0055484102019478995+0.0011034509499986192i,0.0017684942767501638+2.1435225146342472E-4i,5.819841724103194E-4+2.9612050700255067E-5i,1.9317327380957773E-4-3.3588089562276247E-6i,6.412851572729859E-5-5.378991436212088E-6i,2.106270177053744E-5-2.887784765661983E-6i
,0.005466077589081696+0.0011695218311610395i,0.01912624352711462+0.006081208453654286i,0.08208013619257566+0.05048935399045334i,-0.53890071198316+0.8275419749651576i,0.08208817549642798+0.05047245184791879i,0.019155222845257912+0.006067081390497586i,0.005548164606246305+0.001101525499571001i,0.001768983042530967+2.1376801265479865E-4i,5.819574245756699E-4+2.9493907704428257E-5i,1.929506180145202E-4-3.1710008315518525E-6i,6.342726457165288E-5-4.4178377076834836E-6i
,0.0017424365995152766+2.378743252388052E-4i,0.005539025769953649+0.00110707358458411i,0.019149151106045186+0.006070104360839629i,0.0820881416558438+0.050472500986630614i,-0.5389851759826048+0.8274950782934278i,0.08208967114291242+0.050478760383816844i,0.01915339827639845+0.0060677170932232185i,0.005549168833840511+0.0011016746769093387i,0.0017687473197345832+2.1400371607948032E-4i,5.812112951359606E-4+3.020997671005594E-5i,1.9066393563815676E-4-3.7389369916687485E-7i
,5.738545281798971E-4+3.8061304900630914E-5i,0.0017662798949629062+2.1606948557530565E-4i,0.0055484111688647916+0.0011034508594141717i,0.019155223542792796+0.006067089204860627i,0.08208969181285343+0.05047872837104034i,-0.5389855716067848+0.8274924151076187i,0.08209675193673084+0.05049244956886526i,0.019157722287833277+0.00606739897573156i,0.005548564857263233+0.0011019640951120944i,0.0017664149760789653+2.1588059821141113E-4i,5.738650197273168E-4+3.808587187032903E-5i
,1.9062850109740349E-4-3.903289744507189E-7i,5.810798781946277E-4+3.0241307901749948E-5i,0.001768501788026476+2.1435795787163212E-4i,0.0055481843231309355+0.0011015476556398458i,0.0191534191465922+0.006067771761261457i,0.08209669029814187+0.05049260204522536i,-0.5391194312788108+0.8274040594393836i,0.08210606955170206+0.05049871156458691i,0.019156175859197384+0.006071315462580975i,0.005541626737570103+0.0011082189763769559i,0.0017431885360920153+2.384479433732796E-4i
,6.34257234291371E-5-4.424068888469082E-6i,1.9294047698878656E-4-3.1608780772325606E-6i,5.819839349883386E-4+2.961163468399507E-5i,0.0017689823859756311+2.137677429798045E-4i,0.005549163078298776+0.00110166636176214i,0.019157718001949372+0.006067386852005951i,0.08210613705920285+0.050498529521587295i,-0.5389087423590407+0.8276266912403043i,0.08209810068800291+0.05048951141733456i,0.019129082319583646+0.006081404524223942i,0.005466374176001976+0.0011702666803905162i
,2.1060395580532555E-5-2.893764931050895E-6i,6.412106971019629E-5-5.387719582553829E-6i,1.9317383317308834E-4-3.3581148767524353E-6i,5.819597194243394E-4+2.949583015477261E-5i,0.001768753500735701+2.1400801735324605E-4i,0.0055485826108273555+0.0011019838017802314i,0.019156174395208708+0.006071310519996812i,0.08209803810773098+0.05048968376679404i,-0.5389494458894698+0.8275463898560026i,0.08202413420172214+0.05052729084854034i,0.018902585654756027+0.006272254590952144i
,6.965187801026117E-6-1.4261101406711151E-6i,2.1251525511760268E-5-3.202972814638565E-6i,6.412851859235525E-5-5.3790459088507105E-6i,1.9295058715509107E-4-3.1709944308029005E-6i,5.812106729094642E-4+3.020918491058269E-5i,0.001766413948967779+2.158797411301922E-4i,0.005541605630450966+0.0011081953887319518i,0.019129083300109557+0.006081407894601701i,0.08202419850042218+0.050527115001294975i,-0.5391308138912174+0.8277859277178063i,0.08132213174559967+0.051211618831430515i
,2.2780260056393687E-6-5.912499947518455E-7i,6.965151188363179E-6-1.4249647765283163E-6i,2.106270140545501E-5-2.88763605460917E-6i,6.342736799937506E-5-4.417496481059395E-6i,1.9066445239073157E-4-3.733590349478529E-7i,5.73867242320479E-4+3.808766423681935E-5i,0.0017431884498056913+2.38447866150658E-4i,0.0054663958849384174+0.001170290756046523i,0.01890258674464834+0.006272258479444217i,0.08132204721253745+0.051211798396895936i,-0.5416175737985117+0.8317802856995336i
