% Model,TWA_capbox_plasma_for_Sij.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 13 2024, 11:43"
% Table,Table 8 - Global Matrix Evaluation 1
% freq (MHz),S-parameter (1),,,,,,,,,
96,-0.13599159370425998+0.9164952594832255i,0.3388815789397907+0.02632642260616787i,0.105822806632408-0.05307491573082535i,0.024828542538623093-0.03465654500569479i,0.002731205782021206-0.015205811444979298i,-0.0013077262529796827-0.005411422853911298i,-0.0011711159314385438-0.0016033258521861331i,-5.911469634245382E-4-3.7185104700265456E-4i,-2.384477188709468E-4-4.7433491576030524E-5i,-8.352281705279122E-5+9.526252498994385E-6i
,0.3388814956195398+0.02632619670955945i,-0.13051894954008106+0.8560033703368432i,0.330589569652524+0.007404075070426774i,0.10017593649470527-0.05774899893746066i,0.02230689127244446-0.03533001765006433i,0.0018117545837340293-0.015062268004305716i,-0.0015890486527199376-0.005242339442039507i,-0.001239889879149864-0.0015120844892056351i,-6.038168306249087E-4-3.376327048541197E-4i,-2.3850728241592127E-4-4.737137564048309E-5i
,0.10582264939071688-0.05307502148257549i,0.33058951521973795+0.007404099786683547i,-0.136470674665315+0.8516471958115572i,0.32803836159945193+0.00691734606701482i,0.09931927869258443-0.05755367931387571i,0.02204677339227674-0.03514129237870915i,0.0017505897103289414-0.014974188808684948i,-0.001597231605406692-0.005206130252122898i,-0.001240031221070201-0.001511700339569884i,-5.913739414288542E-4-3.7159323482401183E-4i
,0.02482841592164599-0.034656612920436654i,0.10017592940804562-0.0577489886787276i,0.3280383681112912+0.006917358263799828i,-0.13709043887205713+0.8518438348648738i,0.3280526081871769+0.007077378535598417i,0.09931371516171249-0.05751755202199946i,0.02205218911431523-0.03515483432119794i,0.0017498354296363416-0.01498076162966018i,-0.0015910875269769169-0.005243673068577252i,-0.0011726998612152381-0.0016035202376906569i
,0.002731084133566099-0.015205809636003952i,0.02230687549287663-0.03533002186604503i,0.09931929645618347-0.057553691392221065i,0.3280526124282865+0.00707737365983555i,-0.13699786499241942+0.8518624372108821i,0.3280391930239772+0.00702839540098324i,0.09934541758587097-0.05758391993856044i,0.022053213915426077-0.03518516088281104i,0.0018044062721064519-0.015077141403872101i,-0.0013139093432863497-0.0054164954596616225i
,-0.0013077960820489034-0.005411363208116204i,0.0018117359317519233-0.015062253003231545i,0.022046764646713964-0.035141306914619135i,0.09931369653964518-0.05751755655833829i,0.3280391730607204+0.007028375873804056i,-0.13691778501339943+0.8518164420805351i,0.3281928666761002+0.006893269844907925i,0.09937440159384926-0.057667432847350764i,0.022298911230787755-0.035378612346327505i,0.002718798698674576-0.015225977974350295i
,-0.0011711450236139126-0.0016032456822602517i,-0.0015890793907913164-0.00524230462256268i,0.0017505420692589173-0.014974193305946243i,0.022052151767611917-0.035154845028642676i,0.09934538688445378-0.0575839423686152i,0.3281928527690053+0.006893260152500788i,-0.1363399568159636+0.8517468159547166i,0.32838431373664345+0.00672207068974668i,0.10023749675942542-0.05788862804953839i,0.024828716528324416-0.0347282599738833i
,-5.911300725216127E-4-3.718052169558681E-4i,-0.00123988639572964-0.001512059170710741i,-0.0015972501475526172-0.005206111279411974i,0.0017498158020751611-0.0149807405753404i,0.022053174880829012-0.03518515063688643i,0.0993743650908363-0.05766745111646584i,0.32838430170445587+0.0067220577844616805i,-0.13621688024773+0.8514761071450936i,0.3307049840887379+0.00730251301720378i,0.10587249084124797-0.0531633601007876i
,-2.3843337482551874E-4-4.742539603537581E-5i,-6.038151991233422E-4-3.3764033322722674E-4i,-0.0012400302395850335-0.001511713282897724i,-0.001591060842609297-0.005243685068919428i,0.0018044355773596077-0.015077134116928353i,0.0222989254590308-0.03537861312352367i,0.10023753786705414-0.05788860931916904i,0.330705083780981+0.007302531331083801i,-0.13050025919947741+0.8558518250741968i,0.3390960964752138+0.026324999771708896i
,-8.3514261623333E-5+9.530053111268803E-6i,-2.3851282319165324E-4-4.7373209249494477E-5i,-5.913865084656764E-4-3.7160333472791745E-4i,-0.0011726975224838783-0.0016035522361918103i,-0.0013138823448563645-0.0054165363785918874i,0.002718855686154652-0.015226028622161209i,0.024828853816968977-0.0347282449473891i,0.10587268936856559-0.05316329888135559i,0.3390962152270995+0.026325229600527546i,-0.13597031130554288+0.9163986364339273i
