% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths_10_25_cm_sep.mph
% Version,COMSOL 6.2.0.339
% Date,"Jul 11 2024, 21:57"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
85,0.12438492704806156+0.018608976035598437i,-0.15314007508633218+0.9800590127475466i
86,0.1210615922228063-0.00929160886558753i,0.06945944132239525+0.9900601813506431i
87,0.09012324404176353-0.027568213611330775i,0.28336329513002284+0.9542614058872131i
88,0.04390736659121464-0.025045471900066365i,0.48195855325373976+0.8746206533131319i
89,-0.003207284654488493+0.0018497170066241369i,0.6561428297143886+0.754501295747633i
90,-0.03807424442992184+0.04936232330967435i,0.7966603335027456+0.6010506694735854i
91,-0.05192955069302929+0.1082033862787042i,0.8971255621470597+0.424946518744416i
92,-0.04210674807649898+0.16677071104802205i,0.9557994390832341+0.2380726164586659i
93,-0.011648455287699073+0.21447430309090068i,0.9752428636903271+0.050766749092028454i
94,0.032552577144561445+0.24385732925173748i,0.9604257417858983-0.12984149454814684i
95,0.08185298893380655+0.2511989485820304i,0.9165317476921596-0.2999366210844278i
96,0.12735420470916228+0.23616206911929633i,0.8473685786743399-0.45799527905645776i
97,0.16066075648583628+0.2012499291868158i,0.7546666313307808-0.6032774019346321i
98,0.17425295576750374+0.15156471635375088i,0.6382049133213963-0.7342581921250794i
99,0.16200213006855427+0.09496169445988918i,0.49670745339633005-0.8472299815089744i
100,0.12032038392737066+0.04227532810949175i,0.329572916890566-0.9353637095062659i
101,0.05013501219856872+0.006850991877427945i,0.1394018612721608-0.988841880974193i
102,-0.04090121283655984+0.0023633601353303148i,-0.06535061039050698-0.9969303393718615i
103,-0.13769912837551404+0.038514695408672965i,-0.2693410594629288-0.9522861448901537i
104,-0.22058833752584298+0.11617537788899007i,-0.4529682775537226-0.8558723985902214i
105,-0.2716940073848877+0.22545594659920634i,-0.5985960914868881-0.7189562351879171i
106,-0.281263466314914+0.3490280961070349i,-0.6967740079350999-0.5598581960265155i
107,-0.2497309351494753+0.46874171746655346i,-0.7482295082708617-0.39740026155049546i
108,-0.184970047843526+0.571074065516558i,-0.761071682124468-0.24551274640863785i
109,-0.09770285292939963+0.6489137608295948i,-0.7461656859262479-0.111495051406985i
110,0.00202420012161226+0.7004297452852679i,-0.7135799012708273+0.002819276258843201i
