% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 9 2024, 10:38"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
81,0.7716267499039052-0.5934601854662489i,-0.13917983798451192-0.18080319679317533i
82,0.6184248974280313-0.7380154203626899i,-0.2065706574233807-0.17292973327067787i
83,0.40605202792252115-0.8525917171110247i,-0.2966967034152365-0.14110861201591846i
84,0.13090990774476-0.9016371537338612i,-0.40770217147812254-0.05893982277353862i
85,-0.18404374426275374-0.830751769684312i,-0.5126717199874669+0.1139615352854772i
86,-0.45438579680965147-0.5921458381499659i,-0.5275633753189005+0.405548371235625i
87,-0.5390962437353467-0.23341551625189041i,-0.3207233266483633+0.742927047350526i
88,-0.39262788704808244+0.055161281058454026i,0.12900934046648166+0.9088680643590673i
89,-0.17299825226243104+0.14180068171059532i,0.6193768122003155+0.7524488742098702i
90,-0.036045095270790375+0.09581679810778296i,0.9322001326922638+0.34689948029373696i
91,0.004717245430982381+0.03309627837049151i,0.988139945179523-0.1492283509214311i
92,0.0014369680308180246+0.002244200377421212i,0.7981973008563461-0.6022296655902838i
93,-0.004918882010158526-0.0020996165877520644i,0.41561132697116365-0.9094206446289006i
94,-0.002521254226892251+2.390454030035145E-4i,-0.07267911506758729-0.9972555315642653i
95,0.0026544296955730504-0.0018145333870315306i,-0.5519367748847934-0.8337642227727995i
96,0.003047178989018089-0.0065792988299853035i,-0.8965257539657748-0.4427156694677184i
97,-9.625671463471454E-4-0.006947807424130394i,-0.9958703873905126+0.08945482990827432i
98,-0.0016063025507040522-0.0012603087992815328i,-0.7861923165689451+0.617823879025741i
99,0.0024416761322614633+0.0012999578325771026i,-0.2854463375826721+0.9582901494381276i
100,-0.01331214388738208+0.005785509814877713i,0.3734750718714802+0.9274239965204293i
101,-0.04662043376848955+0.1045475295889836i,0.9079558457661641+0.40289996911378334i
102,0.20560408978127465+0.35020236556117224i,0.7862471604836423-0.46547754253440804i
103,0.7922947400536193-0.038738606604000345i,-0.03177028813748102-0.6077968811176285i
104,0.5803473677450175-0.7596619742007396i,-0.23327593456547632-0.17716565057654002i
105,0.057215880028809236-0.9890871566603578i,-0.13480823046869692-0.007478401458659391i
106,-0.36493643825616784-0.9286573954540116i,-0.060944540933327705+0.024088846948254437i
107,-0.6520194353822993-0.7574085289563416i,-0.025505210526690133+0.022030672629440445i
108,-0.8327635993147385-0.5532979404183386i,-0.010066332938682806+0.015201835599995524i
109,-0.9368098813278527-0.3496679424565943i,-0.003588526666322761+0.009654777427318243i
110,-0.9870248159489531-0.1604428248201022i,-9.617815093962678E-4+0.005962533651582034i
111,-0.9999490751689711+0.009351498846062536i,3.8125607711171836E-5+0.0036580907182624574i
