% Model,TWA_96MHz_flat_Ttype_centerfed_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 31 2024, 11:05"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
62,0.014366098342193063-0.010798449999603341i,0.6510887992103886+0.7448674824294996i,0.01465996118126292-0.010945088942959381i
63,0.040296354428238736-0.09010788919345701i,0.9490083956989616+0.23392117208609095i,0.04234286314289511-0.09385772556691054i
64,-0.23509170982640434+0.3411681344180633i,0.6509119809857237+0.4717787737343526i,-0.22356368058611933+0.33387869283850635i
65,0.5097400499595975+0.35481145946578524i,-0.10454696656405674-0.41619033747579415i,0.5409962308712792+0.3552835583573504i
66,0.13991466555639573-0.4626404232006809i,0.6466909983141975+0.314447691121116i,0.13664415048947867-0.4583198038560446i
67,-0.6153630609849601-0.20009093696945113i,-0.17780552239789968-0.2952522424571763i,-0.6444379225324085-0.19206018325689073i
68,0.014921475558402992+0.4077800707371039i,0.7830516244634473+0.18261228774326202i,0.01746027095610297+0.40546636606249303i
69,0.08567561809180017-0.38635585340292106i,0.6509658777943971+0.5289647070841795i,0.06748808282840986-0.3386158792709972i
70,-0.05286636222140625-0.03634345978498182i,0.6685938474666886-0.7238784085907582i,-0.05233049299142643-0.03618751911562365i
71,-0.15539620981682922+0.012406833821623305i,-0.13122940203674188-0.9606075607612704i,-0.1572168898342577+0.012280037530188165i
72,0.0033746194677428632+0.5492975676060781i,-0.21223731464678755+0.5783431552996113i,0.0030588892258919375+0.5557496747944335i
73,0.3655268208095198+0.0927881913091661i,0.5885954327783862-0.5882918141041026i,0.3696539289255106+0.09363127344265784i
74,0.2955533168920802-0.06395577213580704i,0.1354951141772922-0.8845990972370933i,0.2987252135419232-0.0653300808206161i
75,0.25362583769493474-0.14500758449592632i,-0.18881699137680016-0.8840402984089961i,0.25558071242807945-0.14837087863067494i
76,0.22263223117306447-0.22092240319297676i,-0.4211009500335678-0.7865713288104438i,0.22037047995342893-0.22317827896997974i
77,0.18000527782485798-0.3107950348770539i,-0.5820827924121923-0.6307084173980084i,0.17950401855254075-0.3113482853174512i
78,0.10048067812212849-0.4234585544270847i,-0.6613596562973741-0.4225333184832376i,0.10024987843911685-0.4246822020362095i
79,-0.07392259085443591-0.5408272489320859i,-0.602873955367291-0.18322216182921186i,-0.07488541979368207-0.5425974865404344i
80,-0.38513068416390733-0.5338997393703988i,-0.3443889971936997-0.05512874884385379i,-0.38749970416672946-0.5353412982611087i
81,-0.6263235275232021-0.2574195850363296i,-0.09835019397468608-0.2410652784142106i,-0.6294516791831574-0.25719783783198696i
82,-0.594331998113965+0.046726700388385514i,-0.14112978983668045-0.5053698058559659i,-0.5967904464717814+0.048470212955544836i
83,-0.46325921522763525+0.20243220763656342i,-0.3107327704554611-0.6175300371444624i,-0.4646602051725837+0.20486997669298318i
84,-0.35057865567533397+0.268018781321847i,-0.4656297856987846-0.6207041520226003i,-0.35097725176377614+0.2707353624661371i
85,-0.268515761361075+0.30028686932035914i,-0.5820864364484504-0.5745425234856109i,-0.2678159365084415+0.30305365490480995i
86,-0.20705470388508015+0.32431580170472113i,-0.6656757288918073-0.5059434343424695i,-0.20498411780689618+0.3265488484442526i
87,-0.1552555365934104+0.3508490920243615i,-0.7226963541025915-0.42470151629916963i,-0.1524455760185649+0.3513112749580211i
88,-0.10299249147763137+0.3840420410417026i,-0.7552748077416578-0.33366939151772745i,-0.10123617402993737+0.3831530350240406i
89,-0.04019380507028359+0.42551727194927264i,-0.7601180367190034-0.23370247366266125i,-0.03946287107008049+0.42467540980373125i
90,0.04845960183432178+0.47298215003363875i,-0.7268477930664179-0.12849652821141838i,0.048814734757121385+0.4725463042365472i
91,0.18439686147357992+0.5094574171035862i,-0.6380247447997434-0.03489530063547227i,0.184798508822265+0.5093650828174081i
92,0.378183618917428+0.48518116855384763i,-0.4859223132211362-9.995231843068833E-4i,0.378906871008811+0.4852027158227817i
93,0.5716367261923855+0.3317292310216286i,-0.32915801855302895-0.09230256609772354i,0.5727344659088027+0.3314690244383239i
94,0.6387502892279565+0.08205104164019017i,-0.2911403384823131-0.2748256852795556i,0.639908389556285+0.08120141378874014i
95,0.5670380010377646-0.12492022898360025i,-0.38345742649551123-0.41190547499220653i,0.5678635797529619-0.1263012637490899i
96,0.45260739193478877-0.23938680528505385i,-0.5120636148772724-0.45416232475520557i,0.45290365413383293-0.24108850123239883i
97,0.35196850401469293-0.2945567321149771i,-0.6214679272884286-0.43231684380769253i,0.3516115419763079-0.2963982396468827i
98,0.27432703207211967-0.32490781431483456i,-0.7013032120546296-0.3772673237900492i,0.2731199159351251-0.3266131022303049i
99,0.213421797290494-0.3497938024933675i,-0.7543070185199185-0.30402372262366334i,0.2113296246215343-0.35062492221513675i
100,0.1596785674071092-0.37915735690444596i,-0.7825970040994538-0.21768314683062398i,0.15787895334164348-0.37846747105561573i
101,0.10264608897250493-0.418006426124589i,-0.78328439396449-0.11902703058481244i,0.10211052851572752-0.4169873261163867i
102,0.027728588318775133-0.46925272110745553i,-0.7450970472033758-0.009511897194434009i,0.027868869313124708-0.4688143060566256i
103,-0.09091052030891249-0.5262973462711374i,-0.6443564409907158+0.09780368337551135i,-0.0907294678798925-0.5265730661988132i
104,-0.28669518787311926-0.5472481350804254i,-0.4543270217863607+0.1490690440037359i,-0.28703761737055217-0.5481262088860438i
105,-0.5341126886389452-0.4270452944263364i,-0.2275534605260888+0.030596779546818883i,-0.5355250304063705-0.4279657699691929i
106,-0.6537712556572459-0.1413449671290698i,-0.1758279449455878-0.24678653886387403i,-0.6561090230161187-0.14130188208568634i
107,-0.5750669060989857+0.10827026166548674i,-0.3393199863106839-0.43432982955715665i,-0.5774717127947704+0.10970089467051199i
108,-0.44189848292391287+0.2330121455537805i,-0.5338979790442975-0.4550109644296093i,-0.44376002161164885+0.23575038899185158i
109,-0.3340103412760929+0.28836844260813066i,-0.676460154583281-0.38209736820703444i,-0.33467200906440836+0.2926027965411048i
110,-0.2566351026400331+0.32403780984133035i,-0.7643478356429232-0.26275015447396116i,-0.2536478541295607+0.3295034765339313i
111,-0.19370807600122608+0.36913296778175886i,-0.8005935576308943-0.10758553050566662i,-0.18719527907696737+0.3689721392144609i
112,-0.11827206261568568+0.43511539051267234i,-0.7651667055203424+0.08928297778801067i,-0.11567297614921852+0.4323176475119991i
113,0.014362325404169157+0.5275926410999177i,-0.582443295615293+0.31707964723441345i,0.014997320386995557+0.5255381023462353i
114,0.3008557603517673+0.5669584271148557i,-0.11821930605874342+0.3898041372565134i,0.3010470393690467+0.5660725756471016i
115,0.6096770933734494+0.27528158355120724i,0.25817638776152413-0.14570147536866618i,0.6109970450399906+0.27487852307604876i
116,0.5344439739761562-0.0920628308077446i,-0.11088399963349291-0.6207503316189469i,0.5369259371547804-0.09406012198016643i
117,0.36264658282175144-0.23920020936747627i,-0.557770798096503-0.5486184758860377i,0.36524682532418756-0.2454228924022875i
118,0.24575045990231142-0.3284107244501042i,-0.8033028069331212-0.14492676949951533i,0.21864007058227483-0.33937309376878744i
119,0.0029874374128794423-0.45282574136120574i,-0.4303607182112901+0.6375366851432658i,0.0033937061072705594-0.442869417327021i
120,-0.294024843799759-0.16064933671490372i,0.8654154333869346-0.07716661960282199i,-0.29008864200782525-0.15938639760257123i
121,-0.14061692870148954+0.019944232103102637i,0.30845105316336174-0.921159087941169i,-0.13944908539138975+0.019472059331132833i
122,-0.06195118463608153+0.026795414605175056i,-0.11973254779460364-0.9826646984806999i,-0.061581575150789956+0.02649505478624353i
123,-0.03122472479590453+0.019303951540010796i,-0.34207157899644847-0.9338614936226328i,-0.031081061377489585+0.019140686276666073i
124,-0.017392345783428444+0.013196547387478809i,-0.4735679355246909-0.8764791602188121i,-0.01732805691372236+0.013104559715090102i
125,-0.01039306900404516+0.009092212838266896i,-0.5603126802915894-0.824732024933615i,-0.010361404703881465+0.009037794419323475i
126,-0.006540158577626469+0.00638169219940033i,-0.6220656941874765-0.7798406270498026i,-0.006523425653827882+0.006348053020714801i
127,-0.004282411480000763+0.0045671521473296785i,-0.6684675047739794-0.7409018462485619i,-0.004273098832382892+0.004545586037127865i
128,-0.002894278265467637+0.0033281173508540353i,-0.7047479138215484-0.706828660744999i,-0.002888884731109897+0.003313863457553142i
129,-0.0020075702764873957+0.002464959864902165i,-0.7339859185076892-0.6767011822861904i,-0.0020043478538323456+0.0024552936311386235i
130,-0.0014232036611046793+0.0018523729939636073i,-0.758113741508566-0.6497951157377684i,-0.0014212309474902736+0.0018456726950812536i
131,-0.0010279196502843925+0.0014102424476241768i,-0.7784070092791885-0.6255483023267848i,-0.001026689108007493+0.0014055096210174862i
132,-7.545461515123369E-4+0.0010862777065159502i,-0.7957431703392686-0.6035228670484541i,-7.537678745897317E-4+0.00108287943726649i
133,-5.618343429595931E-4+8.456512414993423E-4i,-0.8107465644270409-0.5833743981729846i,-5.613376316866369E-4+8.431760465753469E-4i
134,-4.2369483654107346E-4+6.647237881996466E-4i,-0.8238742088940835-0.564828809183233i,-4.2337656803672345E-4+6.628981508486263E-4i
135,-3.2320117970847603E-4+5.271691395453348E-4i,-0.8354687912686164-0.5476653559278786i,-3.2299767665112266E-4+5.258076560346016E-4i
136,-2.491014884192607E-4+4.2149612424891784E-4i,-0.8457928798080075-0.5317039555030527i,-2.4897236281333724E-4+4.204700284494359E-4i
137,-1.9385414132594734E-4+3.396281700285804E-4i,-0.8550504287111291-0.5167969906244934i,-1.93773864490187E-4+3.3884831842281095E-4i
138,-1.522019214362973E-4+2.7563885262148663E-4i,-0.8634035713765471-0.5028210045354641i,-1.521540302767227E-4+2.750418282313807E-4i
